H,resample_min,move_pct,series_id,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.05,1,0.1,front,front,32558,3256,29302,0.0008002284707449096,0.00663815023258099,0.0014270973953352038,0.003648875754045397,0.002004486390445701,0.00988312507367167,0.0026725656992519406,0.00535875720707594,0.0005148186894289237,0.006173138359728823,0.0012121120025288088,0.00340628645854547,FAIL
0.05,1,0.1,mid,mid,32558,3256,29302,0.0005070159861209895,0.006073241515588126,0.0005385810469372615,0.00267201797196865,0.0012954700496534556,0.007609445315464024,0.0009676139016255432,0.004602085900079235,0.00031486574638001834,0.00587780018350127,0.00046718454791419014,0.002362112245654174,FAIL
0.05,1,0.1,ALL,ALL,65116,6512,58604,,,,,0.0016499782200495782,0.008746285194567847,0.001820089800438742,0.004980421553577587,0.000414842217904471,0.006025469271615047,0.0008396482752214995,0.002884199352099822,FAIL
0.05,1,0.2,front,front,32558,6512,26046,0.0008002284707449096,0.00663815023258099,0.0014270973953352038,0.003648875754045397,0.0015025106014671563,0.008809161109722336,0.002340872624528276,0.004787474166447454,0.0004858249800605586,0.0059732740228750384,0.0010843147193980462,0.0033034245875574937,FAIL
0.05,1,0.2,mid,mid,32558,6512,26046,0.0005070159861209895,0.006073241515588126,0.0005385810469372615,0.00267201797196865,0.0009564775788317002,0.006947714355756946,0.0008229677822920838,0.00401710242820634,0.00030430286108895876,0.005834150885313106,0.0004396098126287537,0.00221134867911075,FAIL
0.05,1,0.2,ALL,ALL,65116,13024,52092,,,,,0.0012294940901494283,0.007878437732739642,0.0015819202034101799,0.0044022882973268965,0.00039506392057475864,0.0059037124540940724,0.0007619622660133999,0.002757386633334122,FAIL
0.05,1,0.3,front,front,32558,9767,22791,0.0008002284707449096,0.00663815023258099,0.0014270973953352038,0.003648875754045397,0.0012614979933325597,0.008189159504335311,0.002089493510831229,0.004443809486877766,0.0004824885226906988,0.005848863064570564,0.0010189786604212926,0.0032491954322141983,FAIL
0.05,1,0.3,mid,mid,32558,9767,22791,0.0005070159861209895,0.006073241515588126,0.0005385810469372615,0.00267201797196865,0.0008215914203382461,0.006637903576766712,0.0007583415184619273,0.003639113214038671,0.00027919093696030433,0.005814484970732255,0.00040978432852907076,0.002126957360199734,FAIL
0.05,1,0.3,ALL,ALL,65116,19534,45582,,,,,0.0010415447068354029,0.007413531540551011,0.0014239175146465782,0.0040414613504582185,0.0003808397298255016,0.00583167401765141,0.0007143814944751817,0.002688076396206966,FAIL
0.05,5,0.1,front,front,6590,659,5931,0.001139109870451985,0.006665546283036737,0.0018707762813186953,0.0036173874000238024,0.002890679996955514,0.010057393883294739,0.0034162069963380756,0.005117804892397402,0.000716355888282489,0.006174628514102535,0.0016099065139505771,0.003410128360412554,FAIL
0.05,5,0.1,mid,mid,6590,659,5931,0.0008403039315417194,0.006097526166819113,0.0005589159514344036,0.0026591511851355052,0.0023244968435848093,0.007665927653230341,0.0006731024506370646,0.004479105614598311,0.0004290854996539489,0.005897534009380294,0.0005447506845854349,0.002372206482751679,FAIL
0.05,5,0.1,ALL,ALL,13180,1318,11862,,,,,0.0026075884202701616,0.00886166076826254,0.00204465472348757,0.0047984552534978565,0.0005727206939682189,0.0060360812617414146,0.001077328599268006,0.0028911674215821165,FAIL
0.05,5,0.2,front,front,6590,1318,5272,0.001139109870451985,0.006665546283036737,0.0018707762813186953,0.0036173874000238024,0.0021550398253594475,0.008953359394423079,0.003044611931901601,0.004640060424179013,0.0006787902700988748,0.005957728439089726,0.0014342474521379658,0.0033126913216150727,FAIL
0.05,5,0.2,mid,mid,6590,1318,5272,0.0008403039315417194,0.006097526166819113,0.0005589159514344036,0.0026591511851355052,0.00172071006119054,0.006892205550972924,0.0006727954309903564,0.003956005788125064,0.00037725409551977876,0.005882063222813005,0.0005266058537616883,0.0022194490175516963,FAIL
0.05,5,0.2,ALL,ALL,13180,2636,10544,,,,,0.0019378749432749937,0.007922782472698002,0.0018587036814459788,0.004298033106152038,0.0005280221828093268,0.0059198958309513655,0.000980426652949827,0.0027660701695833845,FAIL
0.05,5,0.3,front,front,6590,1977,4613,0.001139109870451985,0.006665546283036737,0.0018707762813186953,0.0036173874000238024,0.0018120822380376827,0.008338787488714168,0.0027520575736673237,0.004310751578762951,0.0006679921902886766,0.0058023715764225275,0.0013241669201365643,0.003275528371073779,FAIL
