H,resample_min,move_pct,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.1,5,0.2,2025-11-05,154,31,123,0.0006416352480058363,0.004017346544720783,0.0006792548871734264,0.0010144252129448662,0.0014873845683538818,0.0036130369675366975,0.0009601942311649773,0.0008289946926348131,0.0005531417362825495,0.004107706664793473,0.0005952578526569788,0.001052923683166278,PASS
0.1,5,0.2,2025-11-06,154,31,123,0.0008349942181752424,0.002916294783136431,0.0007749774457998338,0.0006234540872658091,0.001822439428499254,0.0023873665868285104,0.0009073933394099662,0.0007554332639344872,0.0006896442278824547,0.002965318873183639,0.0007233434550997554,0.0005896980386941944,MARGINAL
0.1,5,0.2,2025-11-07,154,31,123,0.000763394352011994,0.001397153204162675,0.0008054803526955372,0.0007709757688570102,0.0018510190850117186,0.002232933028723672,0.0007914149993699874,0.0008470594112040004,0.0006931653658664851,0.0013177680989342531,0.0008279034979029857,0.0007620580901347852,FAIL
0.1,5,0.2,2025-11-10,143,29,114,0.0006670845689830328,0.0036303449315783134,0.0007967752789613304,0.0006686403845774258,0.001338819616664734,0.003884671453712211,0.0009502965339963361,0.0008284323120109903,0.0006692477912933918,0.003541235289493033,0.0007216815172245435,0.0006598229790031561,MARGINAL
0.1,5,0.2,2025-11-11,132,26,106,0.0011723420522764742,0.0015873772768112387,0.0008767724828283695,0.0008481343714178316,0.002302535804791561,0.002768284664329773,0.000999691012381653,0.0009502561140616469,0.0013257704184986695,0.0016303327440895157,0.0008279930980478835,0.0008544719596660614,PASS
0.1,5,0.2,2025-11-12,132,26,106,0.0006104641827445768,0.0022441617299875797,0.0009002947396522009,0.0008192568062027896,0.0012927466267464462,0.0027265945415773578,0.0010537428582573448,0.0008643901656460692,0.0007336371881860501,0.0022433127862572697,0.0008461980730148317,0.0008378642425042133,MARGINAL
0.1,5,0.2,2025-11-13,132,26,106,0.0008327479603804012,0.004472703139744472,0.0007239882629576345,0.0015042514427689143,0.001824587417385339,0.002808329460119678,0.000790179400773782,0.0010484270894010714,0.0009517545394307551,0.004551007073776297,0.0007543610996314109,0.0015414980426586289,FAIL
0.1,5,0.2,2025-11-14,132,26,106,0.0010697613358410017,0.003453522068982275,0.0008901771868658378,0.0010666214904841427,0.0025365971085141263,0.004412474435521027,0.0008320880193839744,0.0012821548519400745,0.0010831809417598342,0.0032847178169476835,0.000969264142894908,0.0010059926580894267,FAIL
0.1,5,0.2,2025-11-17,132,26,106,0.0011183753708237578,0.00575257735360978,0.0008325937894955307,0.0012251143094638203,0.0025759991570786346,0.0050723341121933375,0.000814102921406497,0.001087219732192368,0.0012934543535405654,0.0055849213693855435,0.0008253465223556217,0.0012050016124635248,FAIL
0.1,5,0.2,2025-11-18,132,26,106,0.0004616251381744483,0.0020801595085319564,0.00082301196793389,0.0007041720955410213,0.0009530633302176351,0.002410259514422351,0.0008952207819347292,0.0006330137428347763,0.00046390250622092594,0.002034959968418737,0.0007913335890461967,0.0007275099475979642,MARGINAL
